类别,评论数,评分
益智休闲,6654,7.6 
益智休闲,7187,5.9 
动作游戏,9372,5.1 
益智休闲,8804,8.4 
动作游戏,7371,8.2 
动作游戏,4461,5.1 
益智休闲,5238,9.5 
益智休闲,8245,6.9 
射击游戏,2457,6.5 
益智休闲,8642,8.1 
益智休闲,8789,9.0 
动作游戏,96354,8.1 
动作游戏,4093,5.3 
动作游戏,39297,7.8 
益智休闲,11035,8.1 
动作游戏,10150,7.9 
益智休闲,5745,8.9 
益智休闲,7241,9.0 
益智休闲,656,7.3 
益智休闲,3797,5.0 
射击游戏,8399,7.5 
益智休闲,2185,7.9 
角色扮演,16108,8.7 
动作游戏,283,5.7 
动作游戏,7880,7.7 
益智休闲,1815,7.5 
益智休闲,8241,6.8 
射击游戏,8293,6.8 
益智休闲,5861,8.3 
益智休闲,720,4.9 
益智休闲,990,5.1 
角色扮演,24618,8.1 
益智休闲,5418,8.3 
角色扮演,16628,7.8 
射击游戏,1526,5.5 
角色扮演,15779,8.4 
益智休闲,598,5.2 
射击游戏,25071,8.2 
益智休闲,873,5.2 
益智休闲,1469,6.5 
角色扮演,3336,8.0 
角色扮演,7131,8.0 
动作游戏,23801,8.9 
动作游戏,135,5.1 
动作游戏,9958,8.7 
角色扮演,6407,8.8 
益智休闲,6436,7.5 
益智休闲,623,5.1 
益智休闲,12653,8.4 
益智休闲,2410,5.9 
动作游戏,9831,8.0 
益智休闲,1104,6.0 
益智休闲,767,7.5 
动作游戏,5168,7.0 
射击游戏,12579,8.6 
益智休闲,2103,7.9 
角色扮演,4201,5.4 
角色扮演,8432,8.4 
角色扮演,1016,4.6 
角色扮演,13727,9.1 
益智休闲,1400,7.6 
益智休闲,1598,5.1 
动作游戏,7245,7.6 
益智休闲,1828,7.9 
角色扮演,6970,8.3 
动作游戏,17324,8.5 
动作游戏,975,7.3 
角色扮演,6589,8.3 
益智休闲,284,5.5 
射击游戏,3104,5.6 
益智休闲,125,6.2 
角色扮演,2720,8.0 
角色扮演,4610,8.9 
益智休闲,850,4.9 
益智休闲,3997,9.6 
益智休闲,1179,8.0 
益智休闲,936,4.9 
角色扮演,4961,7.8 
动作游戏,3345,8.0 
益智休闲,1447,4.6 
射击游戏,908,7.3 
益智休闲,648,5.1 
角色扮演,4862,6.9 
角色扮演,1125,7.8 
益智休闲,2392,5.5 
角色扮演,2405,6.7 
角色扮演,10736,8.4 
动作游戏,13553,7.9 
益智休闲,1906,7.7 
射击游戏,10701,8.2 
角色扮演,5630,7.5 
动作游戏,1200,5.9 
动作游戏,2796,7.0 
角色扮演,1275,5.1 
