类别,评论数,喜欢数
竞速游戏,5680,3534
竞速游戏,14640,5039
竞速游戏,27449,7235
竞速游戏,6836,1428
竞速游戏,1423,249
竞速游戏,6077,62
策略塔防,12112,1890
竞速游戏,27673,6755
竞速游戏,9194,1491
策略塔防,3624,1202
竞速游戏,951,185
策略塔防,5363,208
竞速游戏,708,52
冒险解谜,8579,7293
冒险解谜,13041,1184
策略塔防,23797,9865
竞速游戏,734,50
冒险解谜,2218,1083
策略塔防,1183,87
冒险解谜,1637,826
冒险解谜,19207,6338
策略塔防,6078,504
策略塔防,2695,1802
竞速游戏,988,168
冒险解谜,12217,7217
竞速游戏,927,68
冒险解谜,9531,11314
竞速游戏,1728,79
竞速游戏,586,10
冒险解谜,982,1728
竞速游戏,7047,295
策略塔防,1084,254
模拟经营,11218,3997
策略塔防,5573,1387
冒险解谜,1116,1142
竞速游戏,2583,439
策略塔防,1116,377
竞速游戏,635,18
模拟经营,27485,13323
策略塔防,5028,1223
冒险解谜,1769,1450
策略塔防,6513,6325
策略塔防,1514,168
竞速游戏,1064,41
冒险解谜,5958,3854
竞速游戏,629,30
模拟经营,5972,2884
策略塔防,7942,1236
冒险解谜,722,2648
模拟经营,1606,1612
冒险解谜,9640,6513
冒险解谜,1973,1849
模拟经营,8001,506
冒险解谜,4388,2919
策略塔防,1851,225
竞速游戏,977,25
冒险解谜,1719,563
策略塔防,1857,1109
策略塔防,1814,1208
策略塔防,5507,2778
竞速游戏,726,13
竞速游戏,7259,1018
策略塔防,1281,200
策略塔防,1987,861
冒险解谜,289,743
策略塔防,705,51
策略塔防,1137,167
模拟经营,694,2877
竞速游戏,5127,2190
竞速游戏,982,270
竞速游戏,885,177
模拟经营,1236,666
策略塔防,7735,1218
模拟经营,1026,1004
模拟经营,3441,2174
冒险解谜,1314,775
竞速游戏,636,66
竞速游戏,970,84
竞速游戏,980,89
冒险解谜,757,41
冒险解谜,6561,6556
竞速游戏,836,80
竞速游戏,5212,462
模拟经营,692,162
冒险解谜,575,134
策略塔防,1149,254
冒险解谜,1096,842
竞速游戏,680,110
竞速游戏,2596,3412
策略塔防,1242,268
竞速游戏,747,29
竞速游戏,835,39
竞速游戏,615,6
模拟经营,3550,939
竞速游戏,1532,443
策略塔防,1035,651
冒险解谜,2097,5227
模拟经营,2897,776
竞速游戏,986,278
冒险解谜,897,526
竞速游戏,4006,869
竞速游戏,711,345
竞速游戏,1288,98
冒险解谜,0,722
冒险解谜,0,4529
策略塔防,0,521
竞速游戏,769,135
竞速游戏,0,435
模拟经营,4939,2177
策略塔防,0,27
策略塔防,634,1
竞速游戏,1243,62
策略塔防,8620,5164
模拟经营,849,148
模拟经营,1113,1862
冒险解谜,311,787
冒险解谜,4169,3787
模拟经营,599,1543
模拟经营,3378,2267
策略塔防,1213,478
竞速游戏,743,91
冒险解谜,1324,275
竞速游戏,1315,213
策略塔防,2163,369
竞速游戏,822,12
竞速游戏,662,29
竞速游戏,569,33
竞速游戏,4214,829
策略塔防,2027,238
竞速游戏,610,45
策略塔防,8060,2294
冒险解谜,2429,1651
